Date,Time,SoilHumidity RAW,SoilHumidity %,Temperature C°,AirPressure hPa, AirHumidity %
31.01.23,00:01:01,595,2,24,978.77,33 
31.01.23,00:02:01,595,2,23,978.80,33 
31.01.23,00:03:01,595,2,23,978.76,34 
31.01.23,00:04:01,596,1,23,978.76,34 
31.01.23,00:05:01,596,1,23,978.66,34 
31.01.23,00:06:01,595,2,23,978.65,34 
31.01.23,00:07:01,595,2,23,978.74,35 
31.01.23,00:08:01,596,1,23,978.72,35 
31.01.23,00:09:01,596,1,23,978.72,35 
31.01.23,00:10:01,595,2,23,978.70,35 
31.01.23,00:11:01,597,1,23,978.71,35 
31.01.23,00:12:01,595,2,23,978.73,35 
