Date,Time,SoilHumidity_RAW,SoilHumidity %,Temperature: C°,AirPressure (hPa),AirHumidity
31.01.23,00:00:06,770,5,13,973.08,43
31.01.23,00:00:11,776,3,14,973.07,43
31.01.23,00:00:16,768,5,14,973.04,45
31.01.23,00:00:21,496,62,13,973.03,42
31.01.23,00:00:26,494,63,13,973.07,43
31.01.23,00:00:31,493,63,13,973.05,43
31.01.23,00:00:36,490,64,13,973.04,44
31.01.23,00:00:41,489,64,12,973.04,44
31.01.23,00:00:46,489,64,12,973.09,43
31.01.23,00:00:51,489,64,12,973.00,43
31.01.23,00:00:56,488,64,11,973.07,43
31.01.23,00:01:01,489,64,11,973.01,45
31.01.23,00:01:06,487,64,11,973.06,45
31.01.23,00:01:11,488,64,11,973.05,44
31.01.23,00:01:16,487,64,11,973.12,46
31.01.23,00:01:21,486,64,11,973.08,45
31.01.23,00:01:26,486,64,11,973.08,45
31.01.23,00:01:31,485,65,11,973.12,45
31.01.23,00:01:36,486,64,10,973.08,46
31.01.23,00:01:41,495,63,10,973.05,47
31.01.23,00:01:46,788,1,11,972.99,48
31.01.23,00:01:51,748,9,12,973.03,48
31.01.23,00:01:56,551,51,13,973.08,48
31.01.23,00:02:01,767,5,13,973.08,48
31.01.23,00:02:06,754,8,14,973.12,51
31.01.23,00:02:11,770,5,14,973.13,52
31.01.23,00:02:16,306,101,14,973.13,48
31.01.23,00:02:21,305,102,14,973.16,47
31.01.23,00:02:26,301,102,14,973.16,46
31.01.23,00:02:31,304,102,15,973.12,47
31.01.23,00:02:36,307,101,15,973.08,45
31.01.23,00:02:41,303,102,15,973.11,44
31.01.23,00:02:46,305,102,15,973.10,43
31.01.23,00:02:51,308,101,15,973.12,43
31.01.23,00:02:56,306,101,15,973.05,44
31.01.23,00:03:01,307,101,16,973.00,61
31.01.23,00:03:06,306,101,18,973.01,72
31.01.23,00:03:11,309,101,18,973.02,76
31.01.23,00:03:16,307,101,19,973.07,79
31.01.23,00:03:21,306,101,20,973.07,81
31.01.23,00:03:26,304,102,20,973.09,82
31.01.23,00:03:31,309,101,20,973.08,83
31.01.23,00:03:36,307,101,20,973.08,84
31.01.23,00:03:41,657,28,20,973.14,83
31.01.23,00:03:46,722,15,19,973.11,82
31.01.23,00:03:51,781,2,19,973.09,77
31.01.23,00:03:56,781,2,19,973.07,64
31.01.23,00:04:01,779,3,19,973.11,51
31.01.23,00:04:06,781,2,19,974.14,60
31.01.23,00:04:11,779,3,19,976.26,61
31.01.23,00:04:16,781,2,19,976.55,61
31.01.23,00:04:21,780,3,19,977.33,61
31.01.23,00:04:26,781,2,19,978.24,61
31.01.23,00:04:31,780,3,19,979.54,61
31.01.23,00:04:36,782,2,19,981.22,61
31.01.23,00:04:41,780,3,19,983.39,61
31.01.23,00:04:46,781,2,19,984.86,61
31.01.23,00:04:51,781,2,19,987.21,61
31.01.23,00:04:56,782,2,19,991.55,61
31.01.23,00:05:01,781,2,19,994.24,61
31.01.23,00:05:06,782,2,19,1000.24,61
31.01.23,00:05:11,782,2,19,981.23,61
31.01.23,00:05:16,782,2,19,973.06,61
31.01.23,00:05:21,783,2,19,973.01,46
31.01.23,00:05:26,783,2,19,972.97,41
31.01.23,00:05:31,782,2,19,972.88,38
31.01.23,00:05:36,781,2,19,972.85,38
31.01.23,00:05:41,761,7,18,972.96,38
